time_stamp,lat,lon,alt
2026-05-28T02:59:26.539,24.9432122,121.3711673,0.794
2026-05-28T02:59:27.551,24.9432118,121.3711624,0.875
2026-05-28T02:59:28.534,24.9432124,121.3711587,0.788
2026-05-28T02:59:29.542,24.943212,121.3711549,0.768
2026-05-28T02:59:30.528,24.9432126,121.3711517,0.483
2026-05-28T02:59:31.543,24.9432154,121.3711508,0.703
2026-05-28T02:59:32.543,24.9432186,121.3711493,0.551
2026-05-28T02:59:33.541,24.9432204,121.3711469,0.675
2026-05-28T02:59:34.550,24.9432212,121.371147,0.762
2026-05-28T02:59:35.562,24.9432215,121.3711473,0.785
2026-05-28T02:59:36.534,24.9432204,121.3711463,0.658
2026-05-28T02:59:37.542,24.9432203,121.3711469,0.573
2026-05-28T02:59:38.530,24.9432199,121.3711468,0.678
2026-05-28T02:59:39.554,24.9432205,121.3711491,0.833
2026-05-28T02:59:40.542,24.9432204,121.3711492,0.81
2026-05-28T02:59:41.552,24.9432209,121.3711502,0.607
2026-05-28T02:59:42.541,24.9432207,121.3711506,0.802
2026-05-28T02:59:43.545,24.9432197,121.3711489,0.497
2026-05-28T02:59:44.545,24.9432183,121.3711477,0.731
2026-05-28T02:59:45.546,24.9432171,121.371147,0.887
2026-05-28T02:59:46.547,24.9432168,121.3711475,0.703
2026-05-28T02:59:47.553,24.9432161,121.3711472,0.548
2026-05-28T02:59:48.549,24.9432155,121.3711479,1.051
2026-05-28T02:59:49.542,24.9432148,121.3711478,0.706
2026-05-28T02:59:50.564,24.9432147,121.3711481,0.545
2026-05-28T02:59:51.539,24.9432135,121.3711476,0.641
2026-05-28T02:59:52.525,24.9432133,121.3711488,0.712
2026-05-28T02:59:53.547,24.943214,121.3711506,0.675
2026-05-28T02:59:54.551,24.943215,121.3711528,0.686
2026-05-28T02:59:55.543,24.9432159,121.3711548,0.531
2026-05-28T02:59:56.546,24.9432164,121.3711563,0.929
2026-05-28T02:59:57.544,24.9432167,121.3711577,0.794
2026-05-28T02:59:58.561,24.9432163,121.3711569,0.627
2026-05-28T02:59:59.551,24.9432156,121.3711569,0.89
2026-05-28T03:00:00.551,24.9432156,121.3711553,0.946
2026-05-28T03:00:01.542,24.9432148,121.3711553,0.957
2026-05-28T03:00:02.545,24.943214,121.3711557,0.616
2026-05-28T03:00:03.543,24.9432128,121.371154,0.878
2026-05-28T03:00:04.549,24.9432109,121.3711513,0.745
2026-05-28T03:00:05.558,24.9432096,121.3711507,0.695
2026-05-28T03:00:06.556,24.9432098,121.3711522,0.432
